0.0000000000,0.0000000000
0.1000000000,0.3162277660
0.2000000000,0.4472135955
0.3000000000,0.5477225575
0.4000000000,0.6324555320
0.5000000000,0.7071067812
0.6000000000,0.7745966692
0.7000000000,0.8366600265
0.8000000000,0.8944271910
0.9000000000,0.9486832981
1.0000000000,1.0000000000
1.1000000000,1.0488088482
1.2000000000,1.0954451150
1.3000000000,1.1401754251
1.4000000000,1.1832159566
1.5000000000,1.2247448714
1.6000000000,1.2649110641
1.7000000000,1.3038404810
1.8000000000,1.3416407865
1.9000000000,1.3784048752
2.0000000000,1.4142135624
2.1000000000,1.4491376746
2.2000000000,1.4832396974
2.3000000000,1.5165750888
2.4000000000,1.5491933385
2.5000000000,1.5811388301
2.6000000000,1.6124515497
2.7000000000,1.6431676725
2.8000000000,1.6733200531
2.9000000000,1.7029386366
3.0000000000,1.7320508076
3.1000000000,1.7606816862
3.2000000000,1.7888543820
3.3000000000,1.8165902125
3.4000000000,1.8439088915
3.5000000000,1.8708286934
3.6000000000,1.8973665961
3.7000000000,1.9235384062
3.8000000000,1.9493588690
3.9000000000,1.9748417658
4.0000000000,2.0000000000
4.1000000000,2.0248456731
4.2000000000,2.0493901532
4.3000000000,2.0736441353
4.4000000000,2.0976176963
4.5000000000,2.1213203436
4.6000000000,2.1447610590
4.7000000000,2.1679483389
4.8000000000,2.1908902300
4.9000000000,2.2135943621
5.0000000000,2.2360679775
5.1000000000,2.2583179581
5.2000000000,2.2803508502
5.3000000000,2.3021728866
5.4000000000,2.3237900077
5.5000000000,2.3452078799
5.6000000000,2.3664319132
5.7000000000,2.3874672773
5.8000000000,2.4083189158
5.9000000000,2.4289915603
6.0000000000,2.4494897428
6.1000000000,2.4698178070
6.2000000000,2.4899799196
6.3000000000,2.5099800796
6.4000000000,2.5298221281
6.5000000000,2.5495097568
6.6000000000,2.5690465157
6.7000000000,2.5884358211
6.8000000000,2.6076809621
6.9000000000,2.6267851073
7.0000000000,2.6457513111
7.1000000000,2.6645825189
7.2000000000,2.6832815730
7.3000000000,2.7018512172
7.4000000000,2.7202941017
7.5000000000,2.7386127875
7.6000000000,2.7568097504
7.7000000000,2.7748873851
7.8000000000,2.7928480088
7.9000000000,2.8106938645
8.0000000000,2.8284271247
8.1000000000,2.8460498942
8.2000000000,2.8635642127
8.3000000000,2.8809720582
8.4000000000,2.8982753492
8.5000000000,2.9154759474
8.6000000000,2.9325756597
8.7000000000,2.9495762408
8.8000000000,2.9664793948
8.9000000000,2.9832867780
9.0000000000,3.0000000000
9.1000000000,3.0166206258
9.2000000000,3.0331501776
9.3000000000,3.0495901364
9.4000000000,3.0659419434
9.5000000000,3.0822070015
9.6000000000,3.0983866770
9.7000000000,3.1144823005
9.8000000000,3.1304951685
9.9000000000,3.1464265445
10.0000000000,3.1622776602
10.1000000000,3.1780497164
10.2000000000,3.1937438845
10.3000000000,3.2093613072
